VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2020-01-01 00:46:14,2020-01-01 00:51:38,N,1,74,41,1,.80,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:53:19,2020-01-01 00:59:28,N,1,41,74,1,.89,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,2020-01-01 00:14:16,2020-01-01 00:19:52,N,1,36,37,2,1.17,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,2020-01-01 00:34:27,2020-01-01 00:38:00,N,1,36,80,2,.43,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-01-01 00:46:38,2020-01-01 01:14:43,N,1,36,113,2,5.36,21.5,0.5,0.5,5.11,0,,0.3,30.66,1,1,2.75
2,2020-01-01 00:10:51,2020-01-01 00:37:28,N,1,255,112,1,4.09,18.5,0.5,0.5,3.96,0,,0.3,23.76,1,1,0
2,2020-01-01 00:55:29,2020-01-01 01:13:33,N,1,36,256,1,2.96,13.5,0.5,0.5,3.7,0,,0.3,18.5,1,1,0
2,2020-01-01 00:09:38,2020-01-01 00:38:34,N,1,66,112,5,4.62,23.5,0.5,0.5,7.44,0,,0.3,32.24,1,1,0
2,2020-01-01 00:40:37,2020-01-01 00:48:09,N,1,112,80,2,1.52,7.5,0.5,0.5,1,0,,0.3,9.8,1,1,0
2,2020-01-01 00:55:51,2020-01-01 01:01:58,N,1,80,256,2,.71,-5.5,-0.5,-0.5,0,0,,-0.3,-6.8,3,1,0
2,2020-01-01 00:55:51,2020-01-01 01:01:58,N,1,80,256,2,.71,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:33:49,2020-01-01 00:41:59,N,1,7,260,1,1.24,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-01-01 00:48:40,2020-01-01 00:55:04,N,1,7,179,1,.78,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,2020-01-01 00:05:44,2020-01-01 00:21:29,N,1,42,167,5,2.80,12,0.5,0.5,1,0,,0.3,14.3,1,1,0
2,2020-01-01 00:04:25,2020-01-01 00:13:22,N,1,66,144,1,2.30,9.5,0.5,0.5,0,0,,0.3,13.55,2,1,2.75
2,2020-01-01 00:22:25,2020-01-01 00:55:36,N,1,66,164,1,6.34,27,0.5,0.5,0,0,,0.3,31.05,2,1,2.75
2,2020-01-01 00:48:42,2020-01-01 00:58:49,N,1,116,41,1,1.97,9.5,0.5,0.5,2,0,,0.3,14.75,1,1,0
2,2020-01-01 01:00:29,2020-01-01 01:08:22,N,1,43,74,1,1.32,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
2,2020-01-01 00:20:07,2020-01-01 00:27:25,N,1,129,129,1,1.19,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-01-01 00:56:08,2020-01-01 01:14:47,N,1,7,82,1,2.82,14,0.5,0.5,0,0,,0.3,15.3,2,1,0
2,2020-01-01 00:42:54,2020-01-01 00:50:08,N,1,41,42,1,1.38,7,0.5,0.5,0,0,,0.3,8.3,1,1,0
2,2020-01-01 00:23:56,2020-01-01 00:27:24,N,1,181,181,1,.67,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2020-01-01 00:33:48,2020-01-01 00:41:47,N,1,181,257,1,1.81,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,2020-01-01 00:50:32,2020-01-01 00:58:38,N,1,181,25,1,1.98,8,0.5,0.5,1.86,0,,0.3,11.16,1,1,0
1,2020-01-01 00:31:30,2020-01-01 00:35:01,N,1,41,41,1,.60,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
1,2020-01-01 00:41:33,2020-01-01 00:44:53,N,1,74,74,1,.90,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2020-01-01 00:30:39,2020-01-01 00:32:07,N,1,168,168,1,.33,3.5,0.5,0.5,0.96,0,,0.3,5.76,1,1,0
2,2020-01-01 00:20:47,2020-01-01 00:29:19,N,1,190,61,1,1.04,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1,0
2,2020-01-01 00:44:51,2020-01-01 00:51:57,N,1,49,189,1,.96,6.5,0.5,0.5,1,0,,0.3,8.8,1,1,0
2,2020-01-01 00:57:45,2020-01-01 01:16:20,N,1,97,112,1,4.04,15.5,0.5,0.5,0,0,,0.3,16.8,2,1,0
2,2020-01-01 00:36:59,2020-01-01 00:46:46,N,1,112,80,1,1.59,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,2020-01-01 00:57:16,2020-01-01 01:20:13,N,1,255,7,1,6.19,22.5,0.5,0.5,5.95,0,,0.3,29.75,1,1,0
2,2020-01-01 01:05:13,2020-01-01 01:17:11,N,1,145,226,1,2.22,10.5,0.5,0.5,2.36,0,,0.3,14.16,1,1,0
2,2020-01-01 00:22:32,2020-01-01 00:35:59,N,1,146,112,2,3.10,12.5,0.5,0.5,0,0,,0.3,13.8,2,1,0
2,2020-01-01 00:44:10,2020-01-01 00:53:58,N,1,112,141,2,3.52,12.5,0.5,0.5,4.96,0,,0.3,21.51,1,1,2.75
2,2020-01-01 00:05:15,2020-01-01 00:09:36,N,1,40,106,1,1.03,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1,0
2,2020-01-01 00:39:50,2020-01-01 01:03:04,N,1,70,179,1,4.42,18,0.5,0.5,0,0,,0.3,19.3,2,1,0
2,2020-01-01 00:21:36,2020-01-01 01:14:17,N,5,97,265,2,31.90,110,0,0,0,10.5,,0,123.25,1,2,2.75
2,2020-01-01 00:13:50,2020-01-01 00:27:21,N,1,82,173,1,1.93,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,0
2,2020-01-01 00:28:48,2020-01-01 00:41:28,N,1,173,82,1,1.77,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2020-01-01 00:53:07,2020-01-01 01:05:15,N,1,82,258,1,3.17,13,0.5,0.5,0,0,,0.3,14.3,2,1,0
1,2020-01-01 00:06:55,2020-01-01 00:15:04,N,1,134,197,1,2.40,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
1,2020-01-01 00:34:45,2020-01-01 00:58:14,N,1,130,264,1,.00,28.2,0,0.5,0,0,,0.3,29,1,1,0
2,2020-01-01 00:28:17,2020-01-01 00:32:05,N,5,33,66,4,4.85,55,0,0,4.7,0,,0.3,60,1,2,0
1,2020-01-01 00:46:42,2020-01-01 01:06:21,N,1,153,74,1,.00,24.2,0,0.5,0,0,,0.3,25,1,1,0
2,2020-01-01 00:19:54,2020-01-01 00:23:18,N,1,42,42,1,.43,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-01-01 00:29:18,2020-01-01 00:36:09,N,1,166,41,1,1.21,6.5,0.5,0.5,2.34,0,,0.3,10.14,1,1,0
2,2020-01-01 00:38:05,2020-01-01 00:40:38,N,1,43,75,1,.40,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-01-01 00:44:11,2020-01-01 00:57:31,N,1,75,42,1,3.22,12,0.5,0.5,3.32,0,,0.3,16.62,1,1,0
2,2020-01-01 00:07:06,2020-01-01 00:11:13,N,1,41,152,6,.53,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2020-01-01 00:21:37,2020-01-01 00:37:35,N,1,42,75,6,2.40,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
2,2020-01-01 00:46:04,2020-01-01 01:04:29,N,1,74,213,6,5.84,19,0.5,0.5,0,0,,0.3,20.3,2,1,0
2,2020-01-01 00:45:25,2020-01-01 00:55:11,N,1,260,83,1,1.88,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,2020-01-01 01:03:34,2020-01-01 01:18:31,N,1,82,226,1,2.12,11,0.5,0.5,0,0,,0.3,12.3,2,1,0
2,2020-01-01 00:03:49,2020-01-01 00:05:50,N,1,41,41,1,.00,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,0
1,2020-01-01 00:15:01,2020-01-01 00:19:31,N,1,244,42,1,1.20,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
1,2020-01-01 00:31:18,2020-01-01 00:37:55,N,1,152,42,1,1.30,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
1,2020-01-01 00:50:42,2020-01-01 00:58:43,N,1,166,238,1,1.50,7.5,3.25,0.5,1.5,0,,0.3,13.05,1,1,2.75
2,2020-01-01 00:25:47,2020-01-01 00:57:24,N,1,66,123,1,8.02,30,0.5,0.5,0,0,,0.3,31.3,2,1,0
2,2020-01-01 00:08:36,2020-01-01 00:28:39,N,1,33,62,2,4.14,16,0.5,0.5,3.46,0,,0.3,20.76,1,1,0
2,2020-01-01 00:24:19,2020-01-01 00:35:13,N,1,129,80,1,4.19,14,0.5,0.5,1,0,,0.3,16.3,1,1,0
2,2020-01-01 00:54:01,2020-01-01 01:14:28,N,1,52,233,1,7.56,24,0.5,0.5,8.42,0,,0.3,36.47,1,1,2.75
2,2020-01-01 00:25:49,2020-01-01 00:44:50,N,1,7,173,5,3.60,15,0.5,0.5,2.21,0,,0.3,18.51,1,1,0
1,2020-01-01 00:01:32,2020-01-01 00:34:44,N,1,49,168,1,.00,32.2,0,0.5,0,6.12,,0.3,39.12,1,1,0
2,2020-01-01 00:17:09,2020-01-01 00:21:49,N,1,181,181,2,1.23,6,0.5,0.5,2.19,0,,0.3,9.49,1,1,0
2,2020-01-01 00:24:12,2020-01-01 00:49:36,N,1,181,112,2,6.26,23,0.5,0.5,6.08,0,,0.3,30.38,1,1,0
2,2020-01-01 00:52:01,2020-01-01 01:06:14,N,1,7,112,4,6.24,19,0.5,0.5,5.08,0,,0.3,25.38,1,1,0
2,2020-01-01 00:34:41,2020-01-01 01:11:23,N,1,25,14,1,5.87,25.5,0.5,0.5,8.04,0,,0.3,34.84,1,1,0
2,2020-01-01 00:19:09,2020-01-01 00:28:30,N,1,95,196,1,1.44,8.5,0.5,0.5,2.45,0,,0.3,12.25,1,1,0
2,2020-01-01 00:54:14,2020-01-01 01:23:00,N,1,95,140,1,9.15,31,0.5,0.5,0,0,,0.3,35.05,2,1,2.75
2,2020-01-01 00:04:58,2020-01-01 00:12:14,N,1,95,121,1,2.28,9,0.5,0.5,5,0,,0.3,15.3,1,1,0
1,2020-01-01 00:26:24,2020-01-01 00:47:17,N,1,74,142,1,3.70,16.5,3.25,0.5,5.1,0,,0.3,25.65,1,1,2.75
2,2020-01-01 00:03:49,2020-01-01 00:07:03,N,1,181,257,5,.73,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2020-01-01 00:23:54,2020-01-01 00:41:19,N,1,181,257,5,2.96,13.5,0.5,0.5,0,0,,0.3,14.8,2,1,0
2,2020-01-01 00:53:11,2020-01-01 01:08:28,N,1,181,33,5,2.52,12,0.5,0.5,3.99,0,,0.3,17.29,1,1,0
2,2020-01-01 00:05:09,2020-01-01 00:19:34,N,1,181,144,1,3.25,13.5,0.5,0.5,3.51,0,,0.3,21.06,1,1,2.75
2,2020-01-01 00:37:00,2020-01-01 00:42:44,N,1,181,181,1,1.08,6,0.5,0.5,1.82,0,,0.3,9.12,1,1,0
2,2020-01-01 00:44:14,2020-01-01 01:04:35,N,1,181,148,1,4.13,17,0.5,0.5,0,0,,0.3,21.05,2,1,2.75
2,2020-01-01 00:18:27,2020-01-01 00:30:24,N,1,49,17,1,1.81,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,2019-12-31 23:59:59,2020-01-01 00:11:41,N,1,82,70,1,2.24,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,0
2,2020-01-01 00:15:54,2020-01-01 00:31:27,N,1,70,260,1,3.04,13,0.5,0.5,0,0,,0.3,14.3,2,1,0
1,2020-01-01 00:13:44,2020-01-01 00:25:53,N,1,181,61,2,2.10,10.5,0.5,0.5,2.95,0,,0.3,14.75,1,1,0
1,2020-01-01 00:44:18,2020-01-01 01:13:29,Y,1,181,255,3,6.80,24.5,0.5,0.5,2.58,0,,0.3,28.38,1,1,0
1,2020-01-01 00:37:46,2020-01-01 00:45:57,N,1,42,116,2,1.60,8,0.5,0.5,2,0,,0.3,11.3,1,1,0
1,2020-01-01 00:49:40,2020-01-01 00:54:02,N,1,152,166,2,.90,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
1,2020-01-01 00:58:31,2020-01-01 01:08:12,N,1,41,116,1,1.50,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,2020-01-01 00:21:35,2020-01-01 00:29:16,N,1,173,129,2,1.24,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
1,2020-01-01 00:22:28,2020-01-01 01:00:56,N,1,166,226,4,8.00,31,3.25,0.5,0,0,,0.3,35.05,2,1,2.75
2,2020-01-01 00:19:36,2020-01-01 00:25:17,N,1,193,7,1,1.54,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-01-01 00:28:29,2020-01-01 00:43:11,N,1,7,260,1,2.51,12.5,0.5,0.5,0,0,,0.3,13.8,2,1,0
2,2020-01-01 00:03:15,2020-01-01 00:09:37,N,1,166,116,1,1.67,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
2,2020-01-01 00:23:16,2020-01-01 00:53:12,N,1,166,249,1,7.24,26,0.5,0.5,0,0,,0.3,30.05,2,1,2.75
1,2020-01-01 00:47:17,2020-01-01 01:20:10,N,1,7,68,1,5.90,24,3.25,0.5,0,0,,0.3,28.05,2,1,2.75
2,2020-01-01 00:33:52,2020-01-01 00:34:31,N,1,260,260,2,.08,2.5,0.5,0.5,0,0,,0.3,3.8,2,1,0
1,2020-01-01 00:35:26,2020-01-01 00:55:41,N,1,95,226,1,4.70,18.5,0.5,0.5,0,0,,0.3,19.8,2,1,0
2,2020-01-01 00:51:30,2020-01-01 01:08:15,N,1,7,263,1,4.10,15,0.5,0.5,3.81,0,,0.3,22.86,1,1,2.75
1,2020-01-01 00:11:57,2020-01-01 00:29:09,N,1,17,35,1,3.20,14,0.5,0.5,0,0,,0.3,15.3,1,1,0
1,2020-01-01 00:41:18,2020-01-01 01:05:24,N,1,61,39,1,4.30,19,0.5,0.5,0,0,,0.3,20.3,1,1,0
2,2020-01-01 00:26:54,2020-01-01 00:29:29,N,1,41,42,1,.48,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-01-01 00:38:28,2020-01-01 00:46:37,N,1,42,74,1,.96,7,0.5,0.5,0,0,,0.3,8.3,1,1,0
2,2020-01-01 00:26:51,2020-01-01 00:52:45,N,1,97,36,1,4.50,19.5,0.5,0.5,1,0,,0.3,21.8,1,1,0
2,2020-01-01 00:54:50,2020-01-01 01:16:50,N,1,36,97,1,3.83,16,0.5,0.5,3.46,0,,0.3,20.76,1,1,0
2,2020-01-01 00:50:06,2020-01-01 00:58:44,N,1,179,146,1,1.55,8,0.5,0.5,1.86,0,,0.3,11.16,1,1,0
1,2020-01-01 00:09:10,2020-01-01 00:17:40,N,1,190,61,1,1.80,8.5,0.5,0.5,1.95,0,,0.3,11.75,1,1,0
1,2020-01-01 00:28:16,2020-01-01 00:44:24,N,1,181,228,1,2.90,13,0.5,0.5,3.55,0,,0.3,17.85,1,1,0
1,2020-01-01 00:58:25,2020-01-01 01:04:14,N,1,181,195,1,1.10,6.5,0.5,0.5,1.95,0,,0.3,9.75,1,1,0
2,2020-01-01 00:25:49,2020-01-01 00:41:26,N,1,7,226,1,3.80,13.5,0.5,0.5,0,0,,0.3,14.8,2,1,0
2,2020-01-01 00:45:31,2020-01-01 00:49:00,N,1,226,7,1,.88,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2020-01-01 00:44:10,2020-01-01 00:57:26,N,1,256,157,1,3.07,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
2,2020-01-01 00:59:03,2020-01-01 01:36:28,N,1,157,233,1,7.41,30,0.5,0.5,8.51,0,,0.3,42.56,1,1,2.75
2,2020-01-01 00:52:30,2020-01-01 01:05:46,N,1,223,7,1,1.38,9.5,0.5,0.5,3.24,0,,0.3,14.04,1,1,0
2,2020-01-01 00:22:18,2020-01-01 00:42:46,N,1,74,239,1,3.65,16,0.5,0.5,0.01,0,,0.3,20.06,1,1,2.75
2,2020-01-01 01:01:48,2020-01-01 01:13:56,N,1,75,263,1,1.99,10,0.5,0.5,1,0,,0.3,15.05,1,1,2.75
2,2020-01-01 00:08:19,2020-01-01 00:13:56,N,1,129,129,6,.84,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
1,2020-01-01 00:53:12,2020-01-01 01:00:04,N,1,95,134,2,1.80,8,0.5,0.5,2,0,,0.3,11.3,1,1,0
2,2020-01-01 00:21:18,2020-01-01 00:48:01,N,1,129,101,1,16.16,44.5,0.5,0.5,0,0,,0.3,45.8,2,1,0
2,2020-01-01 00:21:03,2020-01-01 00:37:06,N,1,181,228,1,4.95,17.5,0.5,0.5,0,0,,0.3,18.8,2,1,0
2,2020-01-01 00:45:53,2020-01-01 00:59:39,N,1,228,25,1,2.34,11.5,0.5,0.5,2.56,0,,0.3,15.36,1,1,0
2,2020-01-01 01:02:25,2020-01-01 01:27:09,N,1,25,107,1,6.28,23.5,0.5,0.5,8.26,0,,0.3,35.81,1,1,2.75
1,2020-01-01 00:11:35,2020-01-01 00:39:51,N,1,264,264,1,6.80,26.5,0.5,0.5,0,0,,0.3,27.8,1,1,0
2,2020-01-01 00:51:50,2020-01-01 00:52:28,N,5,181,264,2,.03,81,0,0,4,0,,0.3,85.3,1,2,0
2,2020-01-01 00:14:00,2020-01-01 00:36:55,N,1,129,63,1,6.09,21,0.5,0.5,0,0,,0.3,22.3,2,1,0
2,2020-01-01 00:21:26,2020-01-01 00:46:27,N,1,112,258,1,12.49,35,0.5,0.5,7.26,0,,0.3,45.51,1,1,0
2,2019-12-31 23:22:08,2019-12-31 23:24:44,N,1,130,130,1,.54,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-01-01 00:46:42,2020-01-01 00:51:40,N,1,82,129,1,.60,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2020-01-01 00:31:51,2020-01-01 00:40:00,N,1,255,17,1,1.81,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,2020-01-01 00:47:03,2020-01-01 01:22:45,N,1,80,239,1,8.81,30,0.5,0.5,8.51,0,,0.3,42.56,1,1,2.75
1,2020-01-01 00:21:42,2020-01-01 00:59:13,N,5,181,161,4,8.30,0,0,0,0,0,,0,0,4,2,0
2,2020-01-01 00:18:01,2020-01-01 00:27:38,N,1,7,223,1,1.86,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,0
2,2020-01-01 00:36:07,2020-01-01 00:45:20,N,1,7,223,1,1.41,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
2,2020-01-01 00:16:12,2020-01-01 00:40:07,N,1,181,112,1,5.75,22,0.5,0.5,4.66,0,,0.3,27.96,1,1,0
2,2020-01-01 00:40:59,2020-01-01 00:50:27,N,1,146,223,1,2.22,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2019-12-31 23:55:06,2020-01-01 00:01:09,N,1,41,74,1,1.07,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,2020-01-01 00:21:08,2020-01-01 00:32:12,N,1,74,116,1,2.68,11.5,0.5,0.5,0,0,,0.3,12.8,2,1,0
2,2020-01-01 00:07:28,2020-01-01 00:17:36,N,1,244,166,1,1.93,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2020-01-01 00:20:11,2020-01-01 00:40:41,N,1,166,167,1,3.73,16,0.5,0.5,0,0,,0.3,17.3,2,1,0
